player_id,player,position,birth_date,league,minutes,matches,passes,passes_accurate,key_passes,assists,smart_passes,passes_into_penalty_area,progressive_passes,progressive_pass_distance,crosses,long_passes,shots,shots_on_target,goals,dribbles_won,dribbles_attempted,accelerations,touches_att_pen_area,tackles_won,tackles_attempted,interceptions,clearances,aerials_won,age,season,passes_pct,dribble_success_pct
295273,G. Donsah,MF,1996-06-07,Serie A,1795.0,28.0,617.0,470.0,4.0,1.0,6.0,22.0,61.0,2746.8,16.0,31.0,20.0,5.0,2.0,71.0,155.0,22.0,44.0,24.0,91.0,91.0,34.0,25.0,21,2017-18,76.2,45.8
20845,G. Bonaventura,MF,1989-08-22,Serie A,2549.0,33.0,1392.0,1229.0,7.0,3.0,16.0,52.0,151.0,6254.850000000007,51.0,54.0,59.0,28.0,8.0,148.0,266.0,24.0,113.0,29.0,135.0,93.0,15.0,25.0,28,2017-18,88.3,55.6
20850,L. Cigarini,MF,1986-06-20,Serie A,2047.0,26.0,1386.0,1152.0,4.0,0.0,10.0,42.0,269.0,10311.00000000001,23.0,204.0,23.0,5.0,2.0,47.0,80.0,5.0,8.0,38.0,197.0,137.0,20.0,15.0,31,2017-18,83.1,58.8
405880,O. Stijepović,FW,1999-10-22,Serie A,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2017-18,100.0,0.0
145787,J. Andersen,DF,1996-05-31,Serie A,545.0,7.0,386.0,350.0,0.0,0.0,1.0,2.0,70.0,2989.3499999999995,0.0,40.0,3.0,0.0,0.0,2.0,6.0,0.0,13.0,6.0,28.0,43.0,27.0,15.0,21,2017-18,90.7,33.3
20866,D. Astori,DF,1987-01-07,Serie A,2250.0,25.0,1461.0,1303.0,3.0,1.0,5.0,19.0,277.0,12206.250000000005,20.0,165.0,9.0,2.0,1.0,30.0,56.0,4.0,44.0,51.0,180.0,146.0,63.0,62.0,31,2017-18,89.2,53.6
24964,M. Pucciarelli,FW,1991-06-17,Serie A,1387.0,22.0,368.0,286.0,3.0,0.0,2.0,17.0,21.0,1019.5499999999996,15.0,11.0,24.0,9.0,2.0,48.0,118.0,7.0,84.0,13.0,49.0,34.0,1.0,6.0,26,2017-18,77.7,40.7
20869,N. Murru,DF,1994-12-16,Serie A,1449.0,20.0,668.0,532.0,3.0,1.0,1.0,23.0,115.0,4546.500000000002,58.0,70.0,4.0,0.0,0.0,32.0,53.0,2.0,10.0,26.0,143.0,110.0,30.0,17.0,23,2017-18,79.6,60.4
20874,A. Cossu,MF,1980-05-03,Serie A,236.0,11.0,101.0,69.0,0.0,0.0,0.0,5.0,8.0,326.55,12.0,12.0,2.0,1.0,0.0,19.0,32.0,1.0,3.0,0.0,12.0,10.0,2.0,1.0,37,2017-18,68.3,59.4
394,B. Nuytinck,DF,1990-05-04,Serie A,2362.0,27.0,1177.0,1039.0,0.0,1.0,0.0,7.0,227.0,9603.300000000005,3.0,164.0,13.0,1.0,1.0,5.0,18.0,1.0,35.0,49.0,202.0,164.0,68.0,51.0,27,2017-18,88.3,27.8
20875,D. Dessena,MF,1987-05-10,Serie A,570.0,16.0,226.0,163.0,1.0,0.0,0.0,6.0,26.0,1052.1000000000001,7.0,33.0,3.0,0.0,0.0,15.0,32.0,5.0,6.0,9.0,50.0,33.0,14.0,10.0,30,2017-18,72.1,46.9
213387,R. Centurión,MF,1993-01-19,Serie A,52.0,3.0,20.0,12.0,0.0,0.0,0.0,1.0,2.0,66.15,1.0,0.0,0.0,0.0,0.0,3.0,9.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,24,2017-18,60.0,33.3
